2026-04-28 16:20:09 | WARNING | Skipping 2 unreadable/missing audio files.
2026-04-28 16:20:09 | WARNING | Skipped file: Database\F_data\F01\Session1\wav_headMic\0067.wav | reason: Error opening 'Database\\F_data\\F01\\Session1\\wav_headMic\\0067.wav': Format not recognised.
2026-04-28 16:20:09 | WARNING | Skipped file: Database\F_data\F01\Session1\wav_headMic\0068.wav | reason: Error opening 'Database\\F_data\\F01\\Session1\\wav_headMic\\0068.wav': Format not recognised.
2026-04-28 16:20:13 | INFO | Training started on device=cpu
2026-04-28 16:20:13 | INFO | Train samples=4661 | Val samples=2128 | Test samples=1427
2026-04-28 16:21:33 | DEBUG | Epoch 01 | Batch 20/146 | batch_loss=0.7262
2026-04-28 16:22:23 | DEBUG | Epoch 01 | Batch 40/146 | batch_loss=0.7447
2026-04-28 16:23:14 | DEBUG | Epoch 01 | Batch 60/146 | batch_loss=0.5015
2026-04-28 16:24:03 | DEBUG | Epoch 01 | Batch 80/146 | batch_loss=0.2813
2026-04-28 16:24:54 | DEBUG | Epoch 01 | Batch 100/146 | batch_loss=0.4916
2026-04-28 16:25:48 | DEBUG | Epoch 01 | Batch 120/146 | batch_loss=0.3622
2026-04-28 16:26:36 | DEBUG | Epoch 01 | Batch 140/146 | batch_loss=0.2097
2026-04-28 16:26:49 | DEBUG | Epoch 01 | Batch 146/146 | batch_loss=0.1757
